ISS_ID,WR_DT,TOT_AMT,BYR_CD,SUP,BYR
2013040241000008f2r02hx1,2013-04-02,256179,C30391,Comp1,Comp146
2013040841000008f2r02u83,2013-04-08,310761,C30391,Comp1,Comp146
2013032641000008f2r026cm,2013-03-26,202521,C30391,Comp1,Comp146
2013041641000008f2r02yh1,2013-04-16,266574,C30391,Comp1,Comp146
2013012941000008f2r00dcf,2013-01-29,263461,C30391,Comp1,Comp146
2013012941000008f2r00djy,2013-01-29,266057,C30391,Comp1,Comp146
2013050741000008f2r03tot,2013-05-07,254353,C30391,Comp1,Comp146
2013040141000008f2r02dvk,2013-04-01,109505,C30391,Comp1,Comp146
2013050741000008f2r03toy,2013-05-07,111364,C30391,Comp1,Comp146
2013031241000008f2r01xad,2013-03-12,199749,C30391,Comp1,Comp146
2013031241000008f2r01xa8,2013-03-12,252131,C30391,Comp1,Comp146
2013010241000008f2r0006l,2013-01-02,270787,C30391,Comp1,Comp146
2013010241000008f2r0006o,2013-01-02,256047,C30391,Comp1,Comp146
2013031241000008f2r01xa5,2013-03-12,362043,C30391,Comp1,Comp146
2013050641000008f2r03r27,2013-05-06,146971,C30391,Comp1,Comp146
2013050641000008f2r03r1w,2013-05-06,281842,C30391,Comp1,Comp146
2013030441000008f2r01jev,2013-03-04,248710,C30391,Comp1,Comp146
2013011441000008f2r004s1,2013-01-14,335126,C30391,Comp1,Comp146
2013011541000008f2r004x3,2013-01-15,202752,C30391,Comp1,Comp146
2013021441000008f2r0132n,2013-02-14,232254,C30391,Comp1,Comp146
2013021941000008f2r015lb,2013-02-19,252626,C30391,Comp1,Comp146
2013021941000008f2r015ld,2013-02-19,200299,C30391,Comp1,Comp146
2013043041000008f2r03ok6,2013-04-30,-503778,C30391,Comp1,Comp146
2013032641000008f2r0276g,2013-03-26,111903,C30391,Comp1,Comp146
2013050441000008f2r03oki,2013-05-04,254166,C30391,Comp1,Comp146
2013050441000008f2r03okb,2013-05-04,503778,C30391,Comp1,Comp146
2013030541000008f2r01spz,2013-03-05,200640,C30391,Comp1,Comp146
2013032541000008f2r0257e,2013-03-25,284999,C30391,Comp1,Comp146
2013043041000008f2r03oka,2013-04-30,-254166,C30391,Comp1,Comp146
2013021241000008f2r011ue,2013-02-12,252593,C30391,Comp1,Comp146
2013021241000008f2r011ud,2013-02-12,200464,C30391,Comp1,Comp146
2013043041000008f2r0389g,2013-04-30,254166,C30391,Comp1,Comp146
2013043041000008f2r0389k,2013-04-30,503778,C30391,Comp1,Comp146
2013033041000008f2r029qj,2013-03-30,267586,C30391,Comp1,Comp146
2013022641000008f2r01a0y,2013-02-26,252032,C30391,Comp1,Comp146
2013042241000008f2r031pk,2013-04-22,201223,C30391,Comp1,Comp146
2013012241000008f2r00841,2013-01-22,253077,C30391,Comp1,Comp146
2013012241000008f2r00842,2013-01-22,201278,C30391,Comp1,Comp146
2013012141000008f2r0083u,2013-01-21,252241,C30391,Comp1,Comp146
2013030541000008f2r01sqt,2013-03-05,252780,C30391,Comp1,Comp146
2013020541000008f2r00soa,2013-02-05,253330,C30391,Comp1,Comp146
2013091041000008f2r07r1x,2013-09-10,355377,C30391,Comp1,Comp146
2013072241000008f2r05zyg,2013-07-22,300564,C30391,Comp1,Comp146
2013081641000008f2r06ue0,2013-08-16,422224,C30391,Comp1,Comp146
2013072941000008f2r062wo,2013-07-29,330297,C30391,Comp1,Comp146
2013070941000008f2r05syf,2013-07-09,276540,C30391,Comp1,Comp146
2013070941000008f2r05sye,2013-07-09,126984,C30391,Comp1,Comp146
2013062441000008f2r051yd,2013-06-24,256509,C30391,Comp1,Comp146
2013061141000008f2r04v5x,2013-06-11,283492,C30391,Comp1,Comp146
2013071541000008f2r05vll,2013-07-15,254650,C30391,Comp1,Comp146
2013061141000008f2r04v5y,2013-06-11,284438,C30391,Comp1,Comp146
2013101041000008f2r08omu,2013-10-10,253286,C30391,Comp1,Comp146
2013080641000008f2r06p9j,2013-08-06,254694,C30391,Comp1,Comp146
2013052741000008f2r044nz,2013-05-27,252802,C30391,Comp1,Comp146
2013092441000008f2r07wj5,2013-09-24,253165,C30391,Comp1,Comp146
2013092441000008f2r07wj4,2013-09-24,482372,C30391,Comp1,Comp146
2013061841000008f2r04yh3,2013-06-18,220462,C30391,Comp1,Comp146
2013090241000008f2r077nn,2013-09-02,273097,C30391,Comp1,Comp146
2013100741000008f2r08n0h,2013-10-07,117667,C30391,Comp1,Comp146
2013100841000008f2r08o0x,2013-10-08,285978,C30391,Comp1,Comp146
